number,id,first_author,title,analysis_group,publication_year,data_country,sample_size,pma_birth_avg,pma_study_avg,sex_male_pct,sex_female_pct,pain_procedure,analgesic_intervention,electrode_placement_method,electrode_placement_system,electrode_positions,eeg_data_loss_pct,epoch_rej_method,amplitude_threshold,clinical_pain_scale,non_eeg_recording
1,NCT03177980,Elisabeth Norman,Fentanyl and Clonidine for Analgesia During Hypothermia in Term Asphyxiated Infants (SANNI 1),1,2017,Sweden,,,,,,,,,,,,,,,
2,NCT04928651,Elisabeth Norman,Clonidine for Analgesia to Preterm Infants During Neonatal Intensive Care,1,2018,Sweden,,,,,,,,,,,,,,,
3,NCT03057782,Laura Cornelissen,Innovative Approaches to Assessment of Pain Control and Sedation in the NICU,1,2016,United States of America,,,,,,,,,,,,,,,
4,NCT05404594,Pierre Kuhn,Multimodal Approach to the Ontogenesis of Nociception in Very Preterm and Term Infants (NOCI-Prem),1,2019,France,,,,,,,,,,,,,,,
5,NCT05579496,Rebecca Pillai Riddell,Rebooting Infant Pain Assessment: Using Machine Learning to Exponentially Improve Neonatal Intensive Care Unit Practice (BabyAI),1,2020,"Canada, United Kingdom",,,,,,,,,,,,,,,
6,NCT04286269,Sonya Wang,Effects of Music Based Intervention (MBI) on Pain Response and Neurodevelopment in Preterm Infants,1,2020,United States of America,,,,,,,,,,,,,,,
7,NCT03897452,Vineta Fellman,"NeoFent-I Study; Fentanyl Treatment in Newborn Infants; a Pharmacokinetic, Pharmacodynamic and Pharmacogenetic Study",1,2012,Sweden,,,,,,,,,,,,,,,
8,74144294,Alan Worley,Multi-modal pain measurements in infants,2,2012,United Kingdom,,,,,,,,,,,,,,,
9,96455997,Alan Worley,The PiNe box: Development and validation of an electronic device to time-lock multimodal responses to sensory stimuli in hospitalised infants,2,2023,United Kingdom,,,,,,,,,,,,,,,
10,74144298,Lorenzo Fabrizi,Electrophysiological Measurements and Analysis of Nociception in Human Infants,2,2011,United Kingdom,,,,,,,,,,,,,,,
11,74144150,Marsha Campbell-Yeo,The influence of skin-to-skin contact on Cortical Activity during Painful procedures in preterm infants in the neonatal intensive care unit (iCAP mini): study protocol for a randomized control trial,2,2022,Canada,,,,,,,,,,,,,,,
12,74144629,Andreea Pavel,GP252 The effect of music therapy on the electroencephalogram (EEG) and heart rate variability (HRV) of premature infants during routine painful procedures,3,2019,Ireland,21,,,38.1,61.9,Venipuncture,Music therapy,,,,,,,,Heart rate
13,96453812,Annalisa Hauck,"Effect of parental touch on relieving acute procedural pain in neonates and parental anxiety (Petal): a multicentre, randomised controlled trial in the UK",3,2024,United Kingdom,108,38.4,38.65,60.71,39.29,Heel lance,Parental stroking,Individual electrodes,Modified 10-20 system,"Cz, CPz, C3, C4, FCz, T7, T8, Oz, Fz",20.37,Subjective,,PIPP/PIPP-R,"Oxygen saturation, Heart rate, Video recording of facial expression, Video recording of sleep and behavioral state"
14,74144166,Britney Benoit,The influence of breastfeeding on cortical and bio-behavioural indicators of procedural pain in newborns: Findings of a randomized controlled trial,3,2021,Canada,37,39.4,39.5,58.95,41.05,Heel lance,"Breastfeeding, Sucrose",Cap,32-channel Geodesic system,Pz,24.32,Objective,Voltage change > 100 microV over 50-milliseconds,PIPP/PIPP-R,"Heart rate, Video recording of facial expression, Oxygen saturation"
15,74144253,Caroline Hartley,"The relationship between nociceptive brain activity, spinal reflex withdrawal and behaviour in newborn infants",3,2015,United Kingdom,10,,,,,Heel lance,,Individual electrodes,Modified 10-20 system,"Cz, CPz, C3, C4, FCz, Oz, T7, T8, Fz",0,Subjective,,,EMG
16,74144242,Caroline Hartley,Changing Balance of Spinal Cord Excitability and Nociceptive Brain Activity in Early Human Development,3,2016,United Kingdom,40,34.4,36.4,50,50,Heel lance,,Individual electrodes,Modified 10-20 system,"Cz, CPz, C3, C4, FCz, Oz, T7, T8, Fz, Fpz",10,,,,EMG
17,74144224,Caroline Hartley,Nociceptive brain activity as a measure of analgesic efficacy in infants,3,2017,United Kingdom,46,36.33,38.2,58.62,41.38,Heel lance,,Individual electrodes,,"Cz, CPz, C3, C4, T7, T8, FCz, Oz, Fz, Fpz",,,,,"Heart rate, Video recording of facial expression"
18,74144209,Caroline Hartley,Analgesic efficacy and safety of morphine in the Procedural Pain in Premature Infants (Poppi) study: randomised placebo-controlled trial,3,2018,United Kingdom,30,28.35,34.7,66.5,33.5,Heel lance,Morphine,Individual electrodes,Modified 10-20 system,"Cz, CPz, C3, C4, FCz, T7, T8, Oz, Fz",3.33,,,PIPP/PIPP-R,"EMG, Heart rate, Respiratory rate, Oxygen saturation, Video recording of facial expression"
19,74144554,Caroline Hartley,Predicting severity of adverse cardiorespiratory effects of morphine in premature infants: a post hoc analysis of Procedural Pain in Premature Infants trial data,3,2021,United Kingdom,15,28.1,34.7,80,20,Heel lance,Morphine,Individual electrodes,Modified 10-20 system,"Cz, CPz, C3, C4, FCz, Oz, T7, T8, Fz",0,,,PIPP/PIPP-R,"EMG, Heart rate, Respiratory rate, Oxygen saturation, Video recording of facial expression, Blood pressure"
