id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,score<Avg. pub. year>
1,aaron newman,0.0246,0.9875,6,8,10,2,2021.5
2,adam shriver,0.1189,-0.2825,1,9,9,1,2019
3,alan worley,-0.0134,-0.3513,2,19,53,9,2012.6667
4,alexandra key,0.7817,-0.6208,3,9,9,1,2017
5,amraj dhami,0.1329,0.3045,1,19,19,1,2024
6,amy hoskin,-0.1465,-0.038,1,30,70,6,2019
7,amy lee,0.2126,-0.7951,2,8,16,3,2015.6667
8,ana alarcon,0.3846,0.101,1,10,10,1,2022
9,andreea pavel,-0.559,0.8092,5,9,9,1,2019
10,andrew king,-0.4301,-0.015,1,16,16,1,2018
11,ann stark,0.8892,-0.3565,3,9,9,1,2017
12,anna powell,-0.5016,0.6554,5,9,9,1,2019
13,annalisa hauck,0.0401,0.3299,1,19,19,1,2024
14,annika grabbe,0.2188,-0.0003,1,14,14,1,2022
15,aomesh bhatt,-0.0229,0.185,1,31,47,4,2022.5
16,arlene jiang,-0.1556,0.9861,6,6,6,1,2022
17,arnaud jeanvoine,1.0506,-0.0713,3,7,7,1,2024
18,behzad mozaffari tazehkand,0.5287,0.8699,10,2,2,1,2022
19,bonnie stevens,-0.0752,0.8575,6,6,6,1,2022
20,britney benoit,0.1475,1.0314,6,8,10,2,2021.5
21,caitlin kjeldsen,0.7922,0.0836,3,7,7,1,2024
22,caoimhe howard,-0.5929,0.9523,5,9,9,1,2019
23,caroline hartley,-0.0292,-0.0106,1,46,131,13,2019.6154
24,carrie mccoy menser,1.0503,-0.5381,3,9,9,1,2017
25,celeste johnston,0.0373,1.1576,6,6,6,1,2022
26,chetan patel,-0.3073,-0.061,1,19,24,2,2019.5
27,daniel crankshaw,0.0628,0.4359,1,19,19,1,2024
28,daniel france,0.8251,-0.4913,3,9,9,1,2017
29,daragh finn,-0.4225,0.7571,5,9,9,1,2019
30,debbie patten,-0.1624,-0.5318,2,9,15,2,2010.5
31,deniz gursul,-0.1644,0.0447,1,28,61,5,2019
32,dominic wilkinson,0.2342,-0.2479,1,9,9,1,2019
33,don wilkes,0.9227,-0.6303,3,9,9,1,2017
